ui,EndDate,Duration_tot,UserLanguage,Country,Consent_1,Condition,Age,Gender,Pol_ideo,Education,CRT,Demand_1,Demand_2,Demand,Attention_1,Attention_H,Timing_Inoc_Opening,Timing_Inoc_Warning,Timing_Inoc_1,Timing_Inoc_2,Threat_1,Threat_2,Threat_3,Threat_4,Threat,Affect_T1_1,Sci_Duration_1,Sci_1_Affect_1,Trial_1,Sci_Duration_2,Sci_2_Affect_1,Trial_2,Sci_Duration_3,Sci_3_Affect_1,Trial_3,Sci_Duration_4,Sci_4_Affect_1,Trial_4,Sci_Duration_5,Sci_5_Affect_1,Trial_5,Sci_Duration_6,Sci_6_Affect_1,Trial_6,Sci_Duration_7,Sci_7_Affect_1,Trial_7,Sci_Duration_8,Sci_8_Affect_1,Trial_8,Sci_Duration_9,Sci_9_Affect_1,Trial_9,Sci_Duration_10,Sci_10_Affect_1,Trial_10,Action_Duration_1,Act_1_Affect_1,Trial_11,Action_Duration_2,Act_2_Affect_1,Trial_12,Action_Duration_3,Act_3_Affect_1,Trial_13,Action_Duration_4,Act_4_Affect_1,Trial_14,Action_Duration_5,Act_5_Affect_1,Trial_15,Action_Duration_6,Act_6_Affect_1,Trial_16,Action_Duration_7,Act_7_Affect_1,Trial_17,Action_Duration_8,Act_8_Affect_1,Trial_18,Action_Duration_9,Act_9_Affect_1,Trial_19,Action_Duration_10,Act_10_Affect_1,Trial_20,CCB_real,CCB_cause,CCB_cons,CCB,WEPT_90,WEPT_Time,WEPT_1_acc,WEPT_2_acc,WEPT_3_acc,WEPT_4_acc,WEPT_5_acc,WEPT_6_acc,WEPT_7_acc,WEPT_8_acc,WEPT_Duration_1,WEPT_Duration_2,WEPT_Duration_3,WEPT_Duration_4,WEPT_Duration_5,WEPT_Duration_6,WEPT_Duration_7,WEPT_Duration_8,MIST_Timing_Page.Submit,T_Support,T_Delay,F_Support,F_Delay,MIST_score,MIST_T_score,MIST_F_score,T_Support_1,T_Support_2,T_Support_3,T_Support_4,T_Support_5,T_Delay_1,T_Delay_2,T_Delay_3,T_Delay_4,T_Delay_5,F_Support_1,F_Support_2,F_Support_3,F_Support_4,F_Support_5,F_Delay_1,F_Delay_2,F_Delay_3,F_Delay_4,F_Delay_5,F_Support_1_R,F_Support_2_R,F_Support_3_R,F_Support_4_R,F_Support_5_R,F_Delay_1_R,F_Delay_2_R,F_Delay_3_R,F_Delay_4_R,F_Delay_5_R,F_Support_R,F_Delay_R,MIST_dprime,MIST_cbias,MIST_hitrate,MIST_falsealarm,MIST_D_dprime,MIST_D_cbias,MIST_D_hitrate,MIST_D_falsealarm,MIST_S_dprime,MIST_S_cbias,MIST_S_hitrate,MIST_S_falsealarm,Inoculation_Group
272D2030-EAA2-4DCF-935E-CF18BCEB40CE,15/05/2023 15:02,1397,EN,USA,23,2,21,1,1,2,3,0,0,0,3,NA,12.92,15.759,15.974,28.638,7,5,1,7,5,100,2.844,100,19,2.958,100,9,63.248,100,4,4.212,100,17,5.671,100,2,34.225,100,20,3.819,100,13,2.508,100,8,2.574,100,15,2.676,100,6,3.031,100,18,2.907,100,10,2.622,100,12,2.683,100,7,5.706,100,1,2.544,100,11,2.573,100,16,2.88,100,3,2.456,100,14,32.281,100,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,2.068,NA,NA,NA,NA,NA,NA,NA,45.861,5,5,5,1,14,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,4,0.4,-0.8,1,0.6,0.8,-0.6,1,0.2,0,-1,1,1,Socioaffective
85C3BF40-DAC1-499D-B2D4-A326B970D79A,15/05/2023 15:02,764,EN,USA,23,6,26,1,10,3,2,0,0,0,3,NA,11.519,20.724,27.242,29.785,5,4,4,5,4.5,76,2.857,78,19,3.197,32,7,3.764,78,15,2.848,77,5,2.757,74,9,3.869,76,4,2.661,74,14,6.492,32,18,2.521,27,10,2.802,77,1,2.974,31,20,2.63,75,17,2.879,79,11,2.55,72,2,2.563,77,12,2.59,70,8,3.379,80,6,2.6,32,13,2.646,73,16,2.985,35,3,3,2.666666667,2.333333333,2.666666667,2,2,0.923076923,0.933333333,0,0,0,0,0,0,10.38,3.437,13.49,NA,NA,NA,NA,NA,17.283,3,3,2,3,11,6,5,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,3,2,0.1,-0.55,0.6,0.5,0,-0.6,0.6,0.6,0.2,-0.5,0.6,0.4,Socioaffective
82E553F8-1B08-496F-A1C0-A9601777EC36,15/05/2023 15:02,642,EN,USA,23,3,30,0,10,2,1,0,0,0,3,NA,10.612,15.634,135.408,45.349,5,5,5,7,5.5,97,2.755,94,8,2.618,91,7,3.348,95,18,3.424,91,15,2.573,92,10,2.955,93,20,2.579,96,4,2.742,95,19,2.834,92,11,2.551,95,5,2.829,91,12,3.006,93,16,2.603,94,3,2.578,89,13,3.368,91,14,2.607,96,2,6.819,96,17,3.805,91,1,3.154,97,6,2.707,90,9,3.333333333,2.666666667,3.666666667,3.222222222,0,0,0,0,0,0,0,0,0,0,20.968,NA,NA,NA,NA,NA,NA,NA,16.376,4,4,3,2,13,8,5,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,2,3,0.3,-0.65,0.8,0.5,0.4,-0.6,0.8,0.4,0.2,-0.7,0.8,0.6,Cognitive
F39CB09B-5A1E-4C52-B10D-49DF4415615D,15/05/2023 15:02,750,EN,USA,23,5,30,1,3,4,2,2,2,2,3,NA,10.805,15.71,15.689,15.804,4,5,3,5,4.25,96,6.925,93,4,2.563,94,20,4.576,94,14,7.572,92,2,2.696,93,12,2.612,92,18,3.54,94,3,12.134,93,1,4.069,92,5,2.49,93,13,6.422,93,10,3.469,92,17,4.066,92,9,3.292,93,15,3.158,93,11,3.41,93,19,4.717,93,6,2.767,93,7,2.807,93,16,2.751,93,8,5,4,4.666666667,4.555555556,0,2,0.846153846,0.866666667,0,0,0,0,0,0,5.845,7.031,11.208,NA,NA,NA,NA,NA,103.04,5,2,3,1,13,7,4,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,2,4,0.3,-0.55,0.7,0.4,0.2,-0.3,0.4,0.2,0.4,-0.8,1,0.6,Cognitive
4CE90768-4251-4CD7-A0A8-FD271859142D,15/05/2023 15:02,810,EN,USA,23,0,48,0,7,3,0,0,0,0,3,NA,NA,NA,NA,NA,7,7,3,3,5,80,3.371,76,18,13.829,80,1,9.074,91,4,22.067,77,11,13.599,72,15,3.053,71,17,3.625,81,2,7.426,80,10,4.736,85,13,5.65,78,9,8.538,87,12,10.617,90,7,9.193,87,5,6.047,81,3,5.089,74,19,12.467,80,14,10.086,73,20,5.371,71,16,22.207,82,8,8.483,87,6,5,5,5,5,0,0,0,0,0,0,0,0,0,0,15.931,NA,NA,NA,NA,NA,NA,NA,145.694,4,5,3,1,15,9,4,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,2,4,0.5,-0.65,0.9,0.4,0.8,-0.6,1,0.2,0.2,-0.7,0.8,0.6,Control
2337F407-3CD5-4C68-9A9E-30DCE40FBC72,15/05/2023 15:04,825,EN,USA,23,6,28,1,5,3,2,0,0,0,3,NA,19.699,15.9,15.9,17.648,1,4,1,1,1.75,100,14.971,100,13,10.774,100,14,12.773,100,2,16.151,100,8,10.351,100,19,17.99,100,5,3.729,100,20,12.859,100,6,10.101,100,1,13.45,100,15,5.291,100,17,10.627,100,7,6.956,100,12,15.577,100,4,14.672,100,18,14.323,100,9,11.383,100,16,6.501,100,11,14.863,100,3,16.34,100,10,5,5,5,5,0,0,0,0,0,0,0,0,0,0,10.844,NA,NA,NA,NA,NA,NA,NA,54.674,5,3,5,5,8,8,10,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,-0.9,0.8,1,-0.4,-0.8,0.6,1,0,-1,1,1,Socioaffective
A8A75882-ADB1-4D89-B8F0-BC50269C0FD0,15/05/2023 15:04,700,EN,USA,23,4,25,0,5,2,0,0,0,0,3,NA,10.702,15.642,17.021,22.117,7,7,1,7,5.5,100,3.015,100,9,2.385,100,14,5.033,100,2,3.809,100,7,9.921,100,1,20.657,100,6,2.717,100,10,2.333,100,18,2.47,100,19,8.786,100,3,2.43,100,17,3.328,100,4,3.632,100,16,2.591,100,20,7.302,100,12,2.505,100,13,2.91,100,8,5.817,100,5,2.482,100,15,2.712,100,11,5,5,5,5,0,0,0,0,0,0,0,0,0,0,10.716,NA,NA,NA,NA,NA,NA,NA,98.001,4,2,3,3,10,6,6,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,2,2,0,-0.6,0.6,0.6,-0.2,-0.5,0.4,0.6,0.2,-0.7,0.8,0.6,Socioaffective
218942EA-E8AD-4866-826F-55C872D13656,15/05/2023 15:04,985,EN,USA,23,1,59,1,10,3,1,0,0,0,3,NA,10.966,15.778,22.608,16.491,2,2,6,4,3.5,15,13.669,4,20,6.85,3,15,7.486,3,10,13.766,19,5,6.022,0,14,10.548,8,9,18.659,19,1,10.352,5,19,5.942,9,13,18.434,17,7,6.023,19,2,8.809,5,11,8.379,9,12,10.397,0,18,14.674,8,6,8.248,12,3,11.248,0,17,6.214,3,16,17.859,6,4,10.094,8,8,1,1.666666667,2.333333333,1.666666667,0,1,0.230769231,0,0,0,0,0,0,0,18.66,7.21,NA,NA,NA,NA,NA,NA,183.135,0,3,0,2,11,3,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,5,3,0.1,-0.25,0.3,0.2,0.2,-0.5,0.6,0.4,0,0,0,0,Cognitive
AF5C785B-6BDF-498D-98C8-BB6914E06A47,15/05/2023 15:04,1285,EN,USA,23,6,31,1,2,4,3,0,0,0,3,NA,13.348,16.173,15.749,19.155,3,6,5,4,4.5,70,9.095,70,20,14.771,70,4,18.658,70,16,8.041,70,17,28.873,70,1,16.06,70,5,3.061,70,13,28.241,70,9,3.536,70,12,6.238,70,10,3.227,70,11,12.087,70,14,35.04,70,2,15.897,70,7,9.979,70,6,7.268,70,15,7.069,70,18,5.247,70,3,30.894,70,8,12.47,70,19,5,5,5,5,0,1,0.538461538,0,0,0,0,0,0,0,21.149,7.801,NA,NA,NA,NA,NA,NA,198.063,5,4,1,0,18,9,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,4,5,0.8,-0.5,0.9,0.1,0.8,-0.4,0.8,0,0.8,-0.6,1,0.2,Socioaffective
DCD5EAA7-7CF4-4410-BDB9-BE0F055FEF30,15/05/2023 15:04,745,EN,USA,23,0,49,1,1,3,1,0,0,0,3,NA,NA,NA,NA,NA,7,7,4,7,6.25,99,3.001,93,11,2.987,100,16,3.086,94,14,3.235,96,13,2.961,98,19,6.402,99,2,3.182,96,10,6.801,96,7,2.932,96,6,3.001,96,15,2.945,94,9,2.949,99,8,10.003,99,1,2.789,95,12,7.288,99,4,7.436,97,5,6.862,98,3,2.902,99,17,2.802,97,18,2.868,91,20,2.333333333,5,5,4.111111111,0,1,0.846153846,0,0,0,0,0,0,0,22.983,10.801,NA,NA,NA,NA,NA,NA,33.165,3,2,5,4,6,5,9,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-0.4,-0.7,0.5,0.9,-0.4,-0.6,0.4,0.8,-0.4,-0.8,0.6,1,Control
